Метод: Метод золотого сечения (0-й порядок)
x* = -0.0000001661
f(x*) = -3.0000000000
Итераций = 29

k	a	b	x	f(x)	meta
1	-0.5000000000	0.5000000000	0.0000000000	-3.0000000000	x1=-0.1180339887; x2=0.1180339887; f1=-2.9765830306; f2=-2.9815233063
2	-0.1180339887	0.5000000000	0.1909830056	-2.9554384959	x1=0.1180339887; x2=0.2639320225; f1=-2.9815233063; f2=-2.9220386331
3	-0.1180339887	0.2639320225	0.0729490169	-2.9925931810	x1=0.0278640450; x2=0.1180339887; f1=-2.9988676949; f2=-2.9815233063
4	-0.1180339887	0.1180339887	0.0000000000	-3.0000000000	x1=-0.0278640450; x2=0.0278640450; f1=-2.9988027885; f2=-2.9988676949
5	-0.0278640450	0.1180339887	0.0450849719	-2.9970874754	x1=0.0278640450; x2=0.0623058987; f1=-2.9988676949; f2=-2.9945361398
6	-0.0278640450	0.0623058987	0.0172209269	-2.9995627983	x1=0.0065778087; x2=0.0278640450; f1=-2.9999355251; f2=-2.9988676949
7	-0.0278640450	0.0278640450	-0.0000000000	-3.0000000000	x1=-0.0065778087; x2=0.0065778087; f1=-2.9999346713; f2=-2.9999355251
8	-0.0065778087	0.0278640450	0.0106431181	-2.9998318913	x1=0.0065778087; x2=0.0147084275; f1=-2.9999355251; f2=-2.9996802546
9	-0.0065778087	0.0147084275	0.0040653094	-2.9999753106	x1=0.0015528100; x2=0.0065778087; f1=-2.9999963888; f2=-2.9999355251
10	-0.0065778087	0.0065778087	-0.0000000000	-3.0000000000	x1=-0.0015528100; x2=0.0015528100; f1=-2.9999963776; f2=-2.9999963888
11	-0.0015528100	0.0065778087	0.0025124994	-2.9999905548	x1=0.0015528100; x2=0.0034721887; f1=-2.9999963888; f2=-2.9999819786
12	-0.0015528100	0.0034721887	0.0009596894	-2.9999986198	x1=0.0003665687; x2=0.0015528100; f1=-2.9999997985; f2=-2.9999963888
13	-0.0015528100	0.0015528100	-0.0000000000	-3.0000000000	x1=-0.0003665687; x2=0.0003665687; f1=-2.9999997984; f2=-2.9999997985
14	-0.0003665687	0.0015528100	0.0005931206	-2.9999994726	x1=0.0003665687; x2=0.0008196726; f1=-2.9999997985; f2=-2.9999989930
15	-0.0003665687	0.0008196726	0.0002265519	-2.9999999230	x1=0.0000865351; x2=0.0003665687; f1=-2.9999999888; f2=-2.9999997985
16	-0.0003665687	0.0003665687	-0.0000000000	-3.0000000000	x1=-0.0000865351; x2=0.0000865351; f1=-2.9999999888; f2=-2.9999999888
17	-0.0000865351	0.0003665687	0.0001400168	-2.9999999706	x1=0.0000865351; x2=0.0001934984; f1=-2.9999999888; f2=-2.9999999438
18	-0.0000865351	0.0001934984	0.0000534817	-2.9999999957	x1=0.0000204282; x2=0.0000865351; f1=-2.9999999994; f2=-2.9999999888
19	-0.0000865351	0.0000865351	-0.0000000000	-3.0000000000	x1=-0.0000204282; x2=0.0000204282; f1=-2.9999999994; f2=-2.9999999994
20	-0.0000204282	0.0000865351	0.0000330535	-2.9999999984	x1=0.0000204282; x2=0.0000456788; f1=-2.9999999994; f2=-2.9999999969
21	-0.0000204282	0.0000456788	0.0000126253	-2.9999999998	x1=0.0000048224; x2=0.0000204282; f1=-3.0000000000; f2=-2.9999999994
22	-0.0000204282	0.0000204282	-0.0000000000	-3.0000000000	x1=-0.0000048224; x2=0.0000048224; f1=-3.0000000000; f2=-3.0000000000
23	-0.0000048224	0.0000204282	0.0000078029	-2.9999999999	x1=0.0000048224; x2=0.0000107833; f1=-3.0000000000; f2=-2.9999999998
24	-0.0000048224	0.0000107833	0.0000029804	-3.0000000000	x1=0.0000011384; x2=0.0000048224; f1=-3.0000000000; f2=-3.0000000000
25	-0.0000048224	0.0000048224	-0.0000000000	-3.0000000000	x1=-0.0000011384; x2=0.0000011384; f1=-3.0000000000; f2=-3.0000000000
26	-0.0000011384	0.0000048224	0.0000018420	-3.0000000000	x1=0.0000011384; x2=0.0000025456; f1=-3.0000000000; f2=-3.0000000000
27	-0.0000011384	0.0000025456	0.0000007036	-3.0000000000	x1=0.0000002687; x2=0.0000011384; f1=-3.0000000000; f2=-3.0000000000
28	-0.0000011384	0.0000011384	-0.0000000000	-3.0000000000	x1=-0.0000002687; x2=0.0000002687; f1=-3.0000000000; f2=-3.0000000000
29	-0.0000011384	0.0000002687	-0.0000004348	-3.0000000000	x1=-0.0000006009; x2=-0.0000002687; f1=-3.0000000000; f2=-3.0000000000
