Метод: Метод касательных (1-й порядок)
x* = 0.0000218017
f(x*) = -2.9999999993
Итераций = 14

k	a	b	x	f(x)	meta
1	-0.5000000000	0.5000000000	-0.2414673111	-2.8904245987	df(a)=-2.8294415417; df(b)=0.4663953243
2	-0.2414673111	0.5000000000	-0.0675042234	-2.9926979515	df(a)=-1.0040275403; df(b)=0.4663953243
3	-0.0675042234	0.5000000000	0.0374492577	-2.9979746296	df(a)=-0.2233424302; df(b)=0.4663953243
4	-0.0675042234	0.0374492577	-0.0176880156	-2.9995223755	df(a)=-0.2233424302; df(b)=0.1060878503
5	-0.0176880156	0.0374492577	0.0091026186	-2.9998768431	df(a)=-0.0544775516; df(b)=0.1060878503
6	-0.0176880156	0.0091026186	-0.0044703545	-2.9999698898	df(a)=-0.0544775516; df(b)=0.0269357453
7	-0.0044703545	0.0091026186	0.0022698253	-2.9999922894	df(a)=-0.0135010814; df(b)=0.0269357453
8	-0.0044703545	0.0022698253	-0.0011115930	-2.9999981445	df(a)=-0.0135010814; df(b)=0.0067863031
9	-0.0011115930	0.0022698253	0.0005762538	-2.9999995022	df(a)=-0.0033403408; df(b)=0.0067863031
10	-0.0011115930	0.0005762538	-0.0002683814	-2.9999998919	df(a)=-0.0033403408; df(b)=0.0017272672
11	-0.0002683814	0.0005762538	0.0001537578	-2.9999999645	df(a)=-0.0008054683; df(b)=0.0017272672
12	-0.0002683814	0.0001537578	-0.0000573563	-2.9999999951	df(a)=-0.0008054683; df(b)=0.0004611670
13	-0.0000573563	0.0001537578	0.0000481896	-2.9999999965	df(a)=-0.0001720838; df(b)=0.0004611670
14	-0.0000573563	0.0000481896	-0.0000045862	-3.0000000000	df(a)=-0.0001720838; df(b)=0.0001445583
