Метод: Градиентный метод с дроблением шага
x* = (0.0000923995, 0.0000090769)
f(x*) = 1.0000000036
Итераций = 27

k	x1	x2	f(x)	||grad||	step	meta
1	1.0000000000	1.0000000000	3.5838531635	5.2062351841	0.2500000000	accepted alpha=0.2500000000
2	0.7273243567	-0.2726756433	1.6504720892	2.3103466810	0.2500000000	accepted alpha=0.2500000000
3	0.4734488633	0.2461245066	1.1579726184	0.8668645204	0.2500000000	accepted alpha=0.2500000000
4	0.4014903989	0.0417037140	1.0697986912	0.4145969657	0.5000000000	accepted alpha=0.5000000000
5	0.2144135831	0.1310061552	1.0383944383	0.4564534204	0.2500000000	accepted alpha=0.2500000000
6	0.1918547048	0.0191448356	1.0157298640	0.1982773731	0.5000000000	accepted alpha=0.5000000000
7	0.1047186885	0.0664290172	1.0095943930	0.2315893673	0.2500000000	accepted alpha=0.2500000000
8	0.0949376939	0.0093638410	1.0038417346	0.0982471555	0.5000000000	accepted alpha=0.5000000000
9	0.0520562625	0.0333285804	1.0023991657	0.1162260659	0.2500000000	accepted alpha=0.2500000000
10	0.0473484138	0.0046559923	1.0009549827	0.0490184388	0.5000000000	accepted alpha=0.5000000000
11	0.0259904843	0.0166784997	1.0005998393	0.0581672763	0.2500000000	accepted alpha=0.2500000000
12	0.0236592516	0.0023247596	1.0002384083	0.0244962669	0.5000000000	accepted alpha=0.5000000000
13	0.0129905437	0.0083410245	1.0001499630	0.0290904284	0.2500000000	accepted alpha=0.2500000000
14	0.0118277594	0.0011619754	1.0000595810	0.0122465202	0.5000000000	accepted alpha=0.5000000000
15	0.0064946847	0.0041707340	1.0000374910	0.0145460633	0.2500000000	accepted alpha=0.2500000000
16	0.0059136465	0.0005809371	1.0000148939	0.0061230587	0.5000000000	accepted alpha=0.5000000000
17	0.0032472690	0.0020853947	1.0000093728	0.0072731378	0.2500000000	accepted alpha=0.2500000000
18	0.0029567941	0.0002904622	1.0000037234	0.0030615042	0.5000000000	accepted alpha=0.5000000000
19	0.0016236253	0.0010427008	1.0000023432	0.0036365822	0.2500000000	accepted alpha=0.2500000000
20	0.0014783934	0.0001452303	1.0000009308	0.0015307489	0.5000000000	accepted alpha=0.5000000000
21	0.0008118115	0.0005213509	1.0000005858	0.0018182927	0.2500000000	accepted alpha=0.2500000000
22	0.0007391963	0.0000726151	1.0000002327	0.0007653741	0.5000000000	accepted alpha=0.5000000000
23	0.0004059056	0.0002606755	1.0000001464	0.0009091466	0.2500000000	accepted alpha=0.2500000000
24	0.0003695981	0.0000363075	1.0000000582	0.0003826870	0.5000000000	accepted alpha=0.5000000000
25	0.0002029528	0.0001303377	1.0000000366	0.0004545733	0.2500000000	accepted alpha=0.2500000000
26	0.0001847990	0.0000181538	1.0000000145	0.0001913435	0.5000000000	accepted alpha=0.5000000000
27	0.0001014764	0.0000651689	1.0000000092	0.0002272867	0.2500000000	accepted alpha=0.2500000000
28	0.0000923995	0.0000090769	1.0000000036	0.0000956717	0.0000000000	
